CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_COUNTRY,CUSTOMER_DATE_OF_BIRTH
981,Thia Niemiec,Russia,1978-03-08
982,Coral Reynish,,1970-10-07
983,Arleyne Cameron,China,1984-07-04
984,Tripp Bolduc,China,1986-11-23
985,Justino Bowry,Peru,1985-04-11
986,Brendis Brine,United States,1972-08-13
987,Auberta Colchett,Nigeria,1974-11-17
988,Ernest Ronald,Indonesia,1962-11-12
989,Jessy Seeking,Sweden,1965-05-14
990,CHANG Chi Fu,Burma,1933-02-17
991,HEATH Noel Timothy,Saint Kitts and Nevis,1949-10-16
992,OGUNGBUYI Oluwole A.,Nigeria,1953-03-04
993,OGUNGBUYI Abeni O.,Nigeria,1972-03-23
994,CHARNCHAI Chiwinnitipanya,Mongolia,1980-03-09
995,ARELLANO FELIX Benjamin Alberto,Sweden,1952-03-12
996,Nickolaus Skidmore,China,1982-05-29
997,Gil Epsley,Indonesia,1966-11-11
998,Cathryn Castles,Venezuela,1966-01-06
999,Lucille Colegrove,Indonesia,1973-01-30
1000,Bentley Kitteringham,Germany,1962-02-22
35217,SOBYANIN Sergey Semyonovich,Russia,1958-06-21
35219,AFONIN Yuri Vyacheslavovich,Russia,
49003,JIBRIL Ali Yaqoub,Sudan,1964-01-01
